timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2017-05-31,2533.0000,2572.5000,2528.0000,2546.6001,2498.6245,1251365,0.0000,1.0000
2017-05-30,2560.0000,2575.9500,2525.0000,2551.1001,2503.0396,463817,0.0000,1.0000
2017-05-29,2579.0000,2596.5000,2564.0000,2572.8501,2524.3799,874645,0.0000,1.0000
2017-05-26,2625.0000,2626.8501,2564.6499,2578.2500,2529.6780,681275,0.0000,1.0000
2017-05-25,2577.0000,2637.5500,2568.0000,2624.6001,2575.1550,2047047,0.0000,1.0000
2017-05-24,2534.8000,2570.0000,2529.6499,2559.1499,2510.9380,1267274,0.0000,1.0000
2017-05-23,2533.2000,2564.1499,2514.0000,2521.7000,2474.1934,1374298,0.0000,1.0000
2017-05-22,2510.0000,2553.7500,2510.0000,2531.3501,2483.6619,831970,0.0000,1.0000
2017-05-19,2536.2000,2540.5500,2486.0000,2507.1499,2459.9177,893022,0.0000,1.0000
2017-05-18,2450.0000,2572.0000,2442.2500,2536.2000,2488.4202,2569297,0.0000,1.0000
2017-05-17,2433.5000,2460.7500,2423.0000,2455.3501,2409.0938,1438099,0.0000,1.0000
2017-05-16,2380.0000,2435.0000,2373.4500,2429.1499,2383.3867,1800513,0.0000,1.0000
2017-05-15,2375.1001,2377.9500,2341.6001,2365.1001,2320.5439,908802,0.0000,1.0000
2017-05-12,2343.3000,2369.8999,2320.0500,2360.6499,2316.1777,1157223,0.0000,1.0000
2017-05-11,2347.3000,2360.0000,2322.7500,2349.4500,2305.1885,1035651,0.0000,1.0000
2017-05-10,2355.0000,2356.1499,2316.0000,2332.4500,2288.5088,603194,0.0000,1.0000
2017-05-09,2343.9500,2361.0000,2332.5500,2352.5500,2308.2305,895135,0.0000,1.0000
2017-05-08,2321.0000,2347.3999,2317.7000,2342.4500,2298.3203,535891,0.0000,1.0000
2017-05-05,2308.0000,2332.5000,2302.5000,2320.5000,2276.7839,841237,0.0000,1.0000
2017-05-04,2349.9500,2350.0000,2308.8000,2330.1001,2286.2031,1354104,0.0000,1.0000
2017-05-03,2295.0000,2345.0000,2268.5000,2337.3000,2293.2673,1757203,0.0000,1.0000
2017-05-02,2294.0000,2302.0000,2280.0000,2289.8999,2246.7603,1191348,0.0000,1.0000
2017-04-28,2294.0000,2298.7500,2268.0000,2273.1499,2230.3259,1270255,0.0000,1.0000
2017-04-27,2306.0500,2327.8000,2277.6499,2302.6499,2259.2700,2886593,0.0000,1.0000
2017-04-26,2340.0000,2343.9500,2303.0500,2310.3501,2266.8254,1093719,0.0000,1.0000
2017-04-25,2328.0000,2344.4500,2302.7000,2311.5000,2267.9534,1574355,0.0000,1.0000
2017-04-24,2300.0000,2339.6499,2282.5000,2328.1001,2284.2407,1000010,0.0000,1.0000
2017-04-21,2329.1001,2335.6499,2301.0000,2310.8000,2267.2666,580577,0.0000,1.0000
2017-04-20,2305.3000,2332.0000,2290.9500,2325.5000,2281.6897,634421,0.0000,1.0000
2017-04-19,2263.5000,2348.7000,2252.8000,2299.1499,2255.8359,2813406,0.0000,1.0000
2017-04-18,2330.0000,2334.2000,2302.0500,2308.8000,2265.3042,865310,0.0000,1.0000
2017-04-17,2330.3999,2332.8999,2295.1499,2314.8501,2271.2405,1135441,0.0000,1.0000
2017-04-13,2400.0000,2409.0000,2321.0500,2328.6499,2284.7803,1250236,0.0000,1.0000
